Date,Open Interest,Producer/Merchant/Processor/User Longs,Producer/Merchant/Processor/User Shorts,Swap Dealer Longs,Swap Dealer Shorts,Swap Dealer Spreads,Money Manager Longs,Money Manager Shorts,Money Manager Spreads,Other Reportable Longs,Other Reportable Shorts,Other Reportable Spreads,Total Reportable Longs,Total Reportable Shorts,Non Reportable Longs,Non Reportable Shorts
2011-06-28,290459.0,73776.0,168119.0,73629.0,885.0,11033.0,56392.0,25878.0,11209.0,16132.0,22484.0,20013.0,262184.0,259621.0,28275.0,30838.0
2011-06-21,329710.0,72154.0,199187.0,72459.0,1634.0,14998.0,69280.0,24895.0,13606.0,24642.0,20626.0,27993.0,295132.0,302939.0,34578.0,26771.0
2011-06-14,327204.0,64743.0,209800.0,77939.0,1863.0,9900.0,74875.0,23214.0,12230.0,26537.0,18915.0,26047.0,292271.0,301969.0,34933.0,25235.0
2011-06-07,333551.0,57668.0,220596.0,77047.0,1833.0,9241.0,82413.0,15422.0,12911.0,24482.0,18629.0,28808.0,292570.0,307440.0,40981.0,26111.0
2011-05-31,321598.0,57426.0,207692.0,77495.0,1238.0,10677.0,72138.0,14747.0,11941.0,25064.0,19968.0,27758.0,282499.0,294021.0,39099.0,27577.0
2011-05-24,317766.0,62502.0,199595.0,77637.0,2301.0,10427.0,66742.0,19254.0,12032.0,25185.0,20434.0,27164.0,281689.0,291207.0,36077.0,26559.0
2011-05-17,310777.0,69557.0,188247.0,77050.0,4467.0,11096.0,59863.0,23943.0,15343.0,25895.0,19919.0,20251.0,279055.0,283266.0,31722.0,27511.0
2011-05-10,308341.0,62873.0,189937.0,76928.0,2645.0,12668.0,60336.0,21243.0,14813.0,25532.0,19550.0,21444.0,274594.0,282300.0,33747.0,26041.0
2011-05-03,321664.0,57187.0,204495.0,77421.0,3823.0,13154.0,74936.0,16762.0,14378.0,25613.0,19904.0,22796.0,285485.0,295312.0,36179.0,26352.0
2011-04-26,340125.0,63430.0,219591.0,77517.0,2715.0,12482.0,80229.0,16128.0,15160.0,27446.0,23596.0,25664.0,301928.0,315336.0,38197.0,24789.0
2011-04-19,353005.0,66474.0,227047.0,72323.0,2900.0,16382.0,80941.0,14713.0,14461.0,35748.0,24801.0,26216.0,312545.0,326520.0,40460.0,26485.0
2011-04-12,369060.0,72833.0,230259.0,76206.0,3418.0,14819.0,82946.0,14914.0,13763.0,30263.0,26289.0,35008.0,325838.0,338470.0,43222.0,30590.0
2011-04-05,377348.0,77155.0,239280.0,78745.0,3215.0,15452.0,84608.0,15187.0,16821.0,31920.0,26770.0,36241.0,340942.0,352966.0,36406.0,24382.0
2011-03-29,350014.0,74629.0,227390.0,79740.0,3139.0,14465.0,69981.0,13121.0,15835.0,33158.0,23834.0,28098.0,315906.0,325882.0,34108.0,24132.0
2011-03-22,343686.0,79094.0,222804.0,78418.0,3482.0,13892.0,63411.0,14168.0,15983.0,33788.0,22544.0,25733.0,310319.0,318606.0,33367.0,25080.0
2011-03-15,373398.0,78715.0,231982.0,84836.0,3349.0,13862.0,68282.0,13927.0,20049.0,36700.0,25326.0,24622.0,327066.0,333117.0,46332.0,40281.0
2011-03-08,371133.0,77957.0,251398.0,90098.0,5300.0,14533.0,77006.0,10724.0,21378.0,32833.0,23488.0,22129.0,335934.0,348950.0,35199.0,22183.0
2011-03-01,367578.0,83131.0,247326.0,88422.0,4403.0,13404.0,74856.0,13334.0,17218.0,29455.0,20707.0,22963.0,329449.0,339355.0,38129.0,28223.0
2011-02-22,373754.0,95922.0,252962.0,94501.0,4142.0,6832.0,70236.0,15443.0,18742.0,22880.0,20978.0,23793.0,332906.0,342892.0,40848.0,30862.0
2011-02-15,398449.0,97832.0,276079.0,91377.0,4553.0,11910.0,85202.0,15458.0,18374.0,31810.0,21480.0,23985.0,360490.0,371839.0,37959.0,26610.0
2011-02-08,408159.0,96949.0,299626.0,89716.0,4483.0,9740.0,92536.0,11346.0,18661.0,34660.0,16672.0,27238.0,369500.0,387766.0,38659.0,20393.0
2011-02-01,400599.0,101876.0,291735.0,88740.0,4447.0,11720.0,89263.0,12861.0,16420.0,29911.0,16594.0,26863.0,364793.0,380640.0,35806.0,19959.0
2011-01-25,384603.0,109437.0,276511.0,89826.0,4264.0,10585.0,74520.0,14939.0,18932.0,27360.0,18153.0,22205.0,352865.0,365589.0,31738.0,19014.0
2011-01-18,373248.0,96209.0,281331.0,93976.0,3514.0,7736.0,78270.0,11585.0,16576.0,28580.0,16116.0,17870.0,339217.0,354728.0,34031.0,18520.0
2011-01-11,366728.0,88089.0,276468.0,98487.0,2648.0,5952.0,74039.0,9766.0,15475.0,29653.0,17198.0,20203.0,331898.0,347710.0,34830.0,19018.0
2011-01-04,359216.0,74456.0,267329.0,102638.0,2385.0,6421.0,73304.0,10475.0,15956.0,30209.0,14725.0,20242.0,323226.0,337533.0,35990.0,21683.0
2010-12-28,351072.0,71450.0,257983.0,100380.0,1577.0,7228.0,73273.0,11193.0,14777.0,25870.0,15045.0,20512.0,313490.0,328315.0,37582.0,22757.0
2010-12-21,354995.0,69788.0,249844.0,97292.0,1054.0,8086.0,71566.0,10816.0,15553.0,25143.0,16017.0,30929.0,318357.0,332299.0,36638.0,22696.0
2010-12-14,352735.0,73116.0,245400.0,94774.0,949.0,10593.0,68940.0,10781.0,14776.0,24267.0,15866.0,29299.0,315765.0,327664.0,36970.0,25071.0
2010-12-07,343364.0,77232.0,237739.0,85019.0,829.0,7452.0,65330.0,11734.0,11819.0,27067.0,16406.0,30581.0,304500.0,316560.0,38864.0,26804.0
2010-11-30,326408.0,72890.0,221433.0,83861.0,4644.0,7076.0,62227.0,9292.0,8868.0,23156.0,17278.0,31232.0,289310.0,299823.0,37098.0,26585.0
2010-11-23,357167.0,85927.0,227644.0,76835.0,3943.0,22497.0,67199.0,11010.0,13853.0,25250.0,20684.0,33474.0,325035.0,333105.0,32132.0,24062.0
2010-11-16,358487.0,86838.0,236233.0,77414.0,3486.0,25931.0,71215.0,11689.0,12314.0,25106.0,21780.0,23202.0,322020.0,334635.0,36467.0,23852.0
